product_name,product_rating,num_of_reviews,product_price
"LG 23.8"" Full HD (1920 x 1080) IPS Panel Monitor, HDMI & VGA Port, 75 Hz Refresh Rate & AMD Freesync",4.0,30,62999.0
LG 139 cms (55 inches) 4K Ultra HD Smart OLED TV OLED55C9PTA | With Built-in Alexa (PCM Black) (2019 Model),4.0,42,62999.0
LG 55LB6500 3D+SMART LED WITH WEB OS.,,,62999.0
LG 217 cms (86 inches) 4K Ultra HD Smart NanoCell TV 86SM9400PTA | With Built-in Alexa (Rocky Black) (2019 Model),3.4,11,62999.0
"LG 24"" LED Monitor Model:24MN48A",,,62999.0
"LG 19 inch HD Ready Monitor, TN Panel ",4.0,1009,62999.0
LG 164 cm (65 inches) 4K Ultra HD Smart NanoCell TV 65NANO86TNA (Light Steel Silver) (2020 Model),5.0,6,62999.0
LG 139.7 cm (55 inches) 55UK6500PTC 4K UHD LED Smart TV (Black),3.1,10,62999.0
LG Magic Remote Control ,4.3,985,10263.0
"LG 19-inch (47 cm) HD Ready Monitor, TN Panel ",4.0,166,10263.0
LG 80 cm (32 Inches) HD Ready LED Smart TV 32LK616BPTB (Grey) (2018 model),4.4,113,10263.0
LG 80 cm (32 Inches) HD Ready LED TV 32LK526BPTA (Black) (2018 model),4.1,67,10263.0
LG 108 cm (43 Inches) Full HD LED TV 43LJ531T (Space Black) (2017 model),4.4,31,10263.0
LG 164 cm (65 inches) 4K Ultra HD Smart OLED TV 65BXPTA (Dark Steel Silver) (2020 Model),3.3,5,10263.0
LG 195 cms (77 inches) 4K Ultra HD Smart OLED TV OLED77C9PTA | With Built-in Alexa (Dark Meteo Titanium) (2019 Model),4.1,9,10263.0
TECVITY Original Remote Control AN-MR700 (AKB75455601) for LG 3D Smart TV Magic Motion Remote Control ,,,10263.0
LG 123 cm (49 inches) 4K UHD Smart Nano-cell TV 49SM8100PTA (Ceramic Black) (2019 Model),3.8,18,10263.0
LG 164 cms (65 inches) 4K Ultra HD Smart OLED TV OLED65C9PTA | With Built-in Alexa (PCM Black) (2019 Model),4.6,15,10263.0
"LG 27"" Full HD (1920 x 1080) TN Panel Monitor, HDMI & VGA Port, 2 ms Response Time, 75 Hz Refresh Rate & AMD Freesync - 27MK400H (Black)",4.2,14,10263.0
LG 25-inch (63.5 cm) UltraWide Multitasking Monitor ,4.4,3344,10263.0
LG AN-MR19BA Smart TV Magic Remote Control (2019),4.6,5138,10263.0
"LG Ultragear 24 inch (60.96 cm) 144Hz, Native 1ms Full HD Gaming Monitor ",4.3,1182,10263.0
LG 139 cms (55 inches) 4K Ultra HD Smart OLED TV OLED55B9PTA | With Built-in Alexa (PCM Black) (2019 Model),4.0,25,10263.0
"LG 19 inch (47 cm) LED Backlit Computer Monitor - HD Ready, TN Panel ",4.1,47,10263.0
"LG UltraWide 34 Inch WFHD (2560 x 1080) IPS Display - HDR 10, AMD Free sync, sRGB 99%, Multitasking and Gaming Monitor - 34WL500",4.1,86,27999.0
LG CRT TV Remote (6710V00079A) - Generic,4.0,86,27999.0
LG 27 inch 4K-UHD (3840 x 2160) HDR 10 Monitor (Gaming & Design) ,4.1,925,27999.0
LG 164 cm (65 inches) 4K Ultra HD Smart NanoCell TV 65NANO91TNA (Dark Steel Silver) (2020 Model),2.4,3,27999.0
"LG 19.5"" HD (1366 x 768) TN Panel Monitor ",3.4,12,27999.0
LG 27 inch 4K-UHD (3840 x 2160) HDR 10 Monitor (Gaming & Design) ,4.5,996,27999.0
LG XBOOM OK55 Home Audio System (Black),4.1,43,27999.0
LG 24BK750Y 24-inch Professional Full HD Ips Monitor TV (Black),5.0,1,27999.0
"LG 20-inch (50.8 cm) HD Ready Monitor - VGA, HDMI Ports, Wall Mount - 20MK400H (Black)",4.0,95,27999.0
LG 81.3 cm (32 inches) HD Ready LED TV 32LK510BPTA (Black) (2018 model),4.1,99,27999.0
LG 27 inch Borderless Full HD Color Calibrated IPS Monitor - 27MK600 (White),3.7,28,27999.0
LG LED/LCD/PLASMA 3D Smart TV Remote (Works With All LG Led/Lcd/TV),4.0,12,27999.0
LG 19.29-inch (49 cm) IPS HD Ready LED Backlit Computer Monitor - 20MP48A-B (Black),4.1,123,27999.0
Amaze Certified Factory LG Remote AN-MR600/SR-600 Compatible for AN-MR600G AN-MR650 AN-MR650G for LG 3D Smart TV F8580 UF8500 UF9500 UF7702 OLED 5EG9100 55EG9200 | Without Mouse Cursor,,,27999.0
LG Tv Remote (Multicolour),3.4,3,27999.0
"LG G8X | Dual Screen (Aurora Black, Dual OLED Screens)",4.1,237,27999.0
LG Tv Remote (Multicolour),3.4,3,225.0
Factory Tested | 6 Months Warranty LG Led/Lcd/Oled/Plasma TV Universal HDTV Remote | Works With All LG Models | Factory Tested,3.9,8,225.0
"LG 34-inch UltraWide Monitor, 75 Hz,  AMD Freesync, IPS Display ",4.4,3344,225.0
"LG 24 inch (60.45 cm) Gaming 4K UHD LED Monitor - 4K UHD, IPS Panel ",4.2,100,225.0
Amaze Certified Elite LG LED/LCD/PLASMA 3D Smart TV Remote (Works With All LG Led/Lcd/TV),,,225.0
LG 139 cm (55 inches) 55SK8500PTA 4K Super UHD LED Smart TV (Black),3.7,15,225.0
LG - LK72B Boom Blastic Multimedia Speakers (Black),4.0,693,225.0
"LG UltraGear 24 inch (60.96 cm) 144Hz, Native 1ms Full HD Gaming Monitor ",4.3,2942,225.0
"LG 43LH576T HD Ready LED TV (43 inches, Black)",,,225.0
LG Cinema 3D Glasses AG-F310 2012 Model (Black) - 2 Pairs,4.3,129,225.0
LG 190.5 cm (75 inches) 75SK8000PTA 4K Super UHD LED Smart TV (Black),3.1,6,225.0
"LG 27"" 4K UHD IPS Monitor ",4.6,1866,225.0
LG Sound Bar SL6Y ,3.5,28,225.0
LG 2D/3D - BD - DVD - CD -Wi-Fi MultiZone Region Code Free DVD 012345678 PAL/NTSC Blu Ray Zone A/B/C. DivX XviD AVI and MKV Playback and Support. 100~240V 50/60Hz Auto,4.0,133,225.0
Genuine OEM LG 3D SMART TV MAGIC REMOTE AKB73795402 AN-MR3007 AN-MR3005 AKB73596502 AGF76578707,4.6,514,225.0
